face_emotion : {'frame_no': 3692, 'total_count': 6066, 'average_perframe': 1.643011917659805, 'sad': 1990, 'happy': 1301, 'fear': 426, 'angry': 617, 'neutral': 1471, 'surprise': 236, 'disgust': 25}

mode : face_improved
item	frame_no	count_sum	count_avg	conf_avg	conf_distribut
person	3048	44377	14.559383202099738	66.29060610363551	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 961, 870, 873, 793, 759, 688, 663, 671, 583, 583, 565, 570, 520, 475, 470, 476, 405, 398, 410, 379, 341, 353, 384, 331, 360, 348, 365, 335, 365, 335, 322, 325, 301, 274, 302, 295, 278, 322, 295, 262, 283, 266, 323, 270, 307, 281, 287, 292, 272, 317, 304, 304, 339, 325, 296, 345, 340, 340, 342, 390, 424, 390, 427, 439, 465, 528, 533, 552, 540, 602, 635, 671, 720, 806, 910, 1060, 1239, 1615, 2303, 4690]

mode : object_default
item	frame_no	count_sum	count_avg	conf_avg	conf_distribut
car	450	1065	2.3666666666666667	59.27251336720068	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 16, 14, 14, 16, 14, 15, 11, 11, 17, 12, 15, 15, 17, 16, 16, 23, 17, 7, 13, 15, 15, 13, 15, 14, 13, 15, 19, 19, 15, 16, 9, 12, 16, 18, 16, 16, 8, 16, 11, 17, 16, 5, 9, 15, 11, 23, 7, 10, 16, 12, 12, 8, 8, 11, 10, 6, 4, 3, 2, 6, 10, 3, 7, 8, 8, 8, 5, 9, 6, 14, 9, 12, 15, 12, 14, 18, 26, 40, 46]
handbag	101	113	1.118811881188119	31.482773399458523	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 11, 5, 7, 6, 6, 3, 5, 4, 1, 5, 3, 6, 4, 2, 3, 5, 2, 2, 2, 1, 5, 3, 2, 2, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
truck	183	312	1.7049180327868851	38.110720662352364	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 15, 18, 9, 14, 8, 9, 7, 13, 11, 5, 11, 8, 7, 9, 9, 12, 3, 7, 11, 6, 4, 5, 4, 3, 3, 5, 4, 10, 2, 4, 1, 3, 2, 0, 5, 1, 1, 1, 0, 1, 0, 1, 2, 3, 3, 4, 6, 4, 4, 2, 3, 3, 1, 1, 1, 2, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
hot dog	1	1	1.0	22.68427163362503	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
laptop	23	24	1.0434782608695652	27.82152897367875	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 3, 1, 0, 2, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
banana	3	3	1.0	49.130180974801384	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
parking meter	2	2	1.0	20.719808340072632	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
boat	6	6	1.0	34.21491930882136	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
frisbee	46	51	1.108695652173913	49.05649128497816	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 1, 2, 0, 1, 0, 1, 0, 2, 0, 0, 0, 2, 0, 1, 0, 1, 0, 3, 1, 0, 0, 1, 0, 3, 1, 1, 3, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 2, 2, 0, 1, 1, 1, 0, 0, 2, 2, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
backpack	120	125	1.0416666666666667	33.05961533784866	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 10, 8, 9, 8, 5, 5, 6, 4, 10, 2, 2, 4, 6, 3, 1, 3, 1, 1, 3, 4, 1, 1, 0, 0, 1, 3, 1, 0, 1, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 2, 1, 1, 0, 1, 1, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
